word,AutomateTime,isThereAWordAutomate,KMPTime,isThereAWordKMP,egrepTime,isThereAWordEgrep
Sagron,1132,false,70,false,10,true
Sagon,615,false,31,false,4,true
S(a|g|r)+on,644,true,58,false,5,true
S(a|g|r)*on,658,true,70,false,5,true
(S|s)(a|g|r)+on,674,true,70,false,4,true
(S|s)(ag|ro|gr)+on,685,false,81,false,4,true
(S|s)((ag|gr))*on,704,true,83,false,5,true
(S(a|g|r)*o)+n,627,true,65,false,5,true
(S|s)((a|r)|(g|r))on,673,false,85,false,6,true
S(ag|gr)+on,644,false,57,false,4,true
(S|s)((ag|gr)+|on)+,684,true,83,false,4,true
S(a(g|r)+)+on,666,true,61,false,5,true
(S|s)((a|g|r)+(on|g)+)+,647,true,93,false,3,true
